name,model,task,type,num_steps,success,points,golden
flash-nothing-find-non-living-thing,google/gemini-2.5-flash-preview-05-20,find-non-living-thing,nothing_prompt,6,True,100,5
flash-nothing-find-plant,google/gemini-2.5-flash-preview-05-20,find-plant,nothing_prompt,8,True,100,10
flash-nothing-find-living-thing,google/gemini-2.5-flash-preview-05-20,find-living-thing,nothing_prompt,9,True,100,10
flash-nothing-chemistry-mix-paint-secondary-color,google/gemini-2.5-flash-preview-05-20,chemistry-mix-paint-secondary-color,nothing_prompt,51,False,0,21
flash-nothing-freeze,google/gemini-2.5-flash-preview-05-20,freeze,nothing_prompt,51,False,87,26
flash-nothing-find-animal,google/gemini-2.5-flash-preview-05-20,find-animal,nothing_prompt,51,False,0,10
flash-nothing-change-the-state-of-matter-of,google/gemini-2.5-flash-preview-05-20,change-the-state-of-matter-of,nothing_prompt,51,False,0,26
flash-nothing-chemistry-mix,google/gemini-2.5-flash-preview-05-20,chemistry-mix,nothing_prompt,51,False,25,24
flash-nothing-chemistry-mix-paint-tertiary-color,google/gemini-2.5-flash-preview-05-20,chemistry-mix-paint-tertiary-color,nothing_prompt,51,False,0,30
flash-nothing-boil,google/gemini-2.5-flash-preview-05-20,boil,nothing_prompt,51,False,2,39
flash-nothing-lifespan-longest-lived,google/gemini-2.5-flash-preview-05-20,lifespan-longest-lived,nothing_prompt,7,True,100,6
flash-nothing-inclined-plane-friction-unnamed-surfaces,google/gemini-2.5-flash-preview-05-20,inclined-plane-friction-unnamed-surfaces,nothing_prompt,8,True,100,178
flash-nothing-inclined-plane-determine-angle,google/gemini-2.5-flash-preview-05-20,inclined-plane-determine-angle,nothing_prompt,12,True,100,55
flash-nothing-lifespan-shortest-lived,google/gemini-2.5-flash-preview-05-20,lifespan-shortest-lived,nothing_prompt,14,True,100,6
flash-nothing-lifespan-longest-lived-then-shortest-lived,google/gemini-2.5-flash-preview-05-20,lifespan-longest-lived-then-shortest-lived,nothing_prompt,28,True,100,7
flash-nothing-inclined-plane-friction-named-surfaces,google/gemini-2.5-flash-preview-05-20,inclined-plane-friction-named-surfaces,nothing_prompt,26,True,100,51
flash-nothing-identify-life-stages-1,google/gemini-2.5-flash-preview-05-20,identify-life-stages-1,nothing_prompt,51,False,4,41
flash-nothing-grow-plant,google/gemini-2.5-flash-preview-05-20,grow-plant,nothing_prompt,51,False,36,63
flash-nothing-identify-life-stages-2,google/gemini-2.5-flash-preview-05-20,identify-life-stages-2,nothing_prompt,51,False,0,16
flash-nothing-grow-fruit,google/gemini-2.5-flash-preview-05-20,grow-fruit,nothing_prompt,51,False,21,77
flash-nothing-measure-melting-point-known-substance,google/gemini-2.5-flash-preview-05-20,measure-melting-point-known-substance,nothing_prompt,8,True,100,27
flash-nothing-test-conductivity-of-unknown-substances,google/gemini-2.5-flash-preview-05-20,test-conductivity-of-unknown-substances,nothing_prompt,10,True,100,21
flash-nothing-melt,google/gemini-2.5-flash-preview-05-20,melt,nothing_prompt,51,False,0,34
flash-nothing-measure-melting-point-unknown-substance,google/gemini-2.5-flash-preview-05-20,measure-melting-point-unknown-substance,nothing_prompt,51,False,0,32
flash-nothing-use-thermometer,google/gemini-2.5-flash-preview-05-20,use-thermometer,nothing_prompt,51,False,82,22
flash-nothing-test-conductivity,google/gemini-2.5-flash-preview-05-20,test-conductivity,nothing_prompt,51,False,0,21
flash-nothing-mendelian-genetics-known-plant,google/gemini-2.5-flash-preview-05-20,mendelian-genetics-known-plant,nothing_prompt,51,False,14,143
flash-nothing-power-component-renewable-vs-nonrenewable-energy,google/gemini-2.5-flash-preview-05-20,power-component-renewable-vs-nonrenewable-energy,nothing_prompt,51,False,58,26
flash-nothing-mendelian-genetics-unknown-plant,google/gemini-2.5-flash-preview-05-20,mendelian-genetics-unknown-plant,nothing_prompt,51,False,15,145
flash-nothing-power-component,google/gemini-2.5-flash-preview-05-20,power-component,nothing_prompt,51,False,0,11
